id,order_id,amount,payment_method,payment_date
84eaddae-15b8-4fc4-8af8-e54fde5d824f,d54cc5c5-b2d0-449f-8374-b7507de13e03,907.56,PayPal,2024-08-09 09:21:01
aa4bf93b-6a49-42b7-8b02-88dd4c3d9a6b,8658b3e7-d7ed-44c0-9ec2-4e60fdb73720,1684.5,Credit Card,2024-10-30 10:55:13
7a8c137a-bac8-4b65-8792-4572f653ce4e,99f2be5f-53b1-4e69-b5a9-d35574c836da,2679.84,Debit Card,2024-09-12 04:27:43
77d4e8a1-33a8-4cdb-90a8-13e9bc24731a,2940e18a-eb70-4c95-aa76-c42d1914c258,348.39,Bank Transfer,2024-10-02 13:03:00
331ca264-5336-4af9-b32b-11f9bca505fc,eb860c0a-f616-4911-aa6a-a1a9a87e9e2b,1832.8999999999999,Bank Transfer,2024-03-16 16:54:35
414379b4-e721-49ab-a2f9-49b87b1f369a,e9f45bc0-e4bb-4435-9850-0efdc9740290,2932.14,Debit Card,2024-11-12 00:30:34
2b54a2e6-537b-4938-b126-bacfc39ad1c8,eb8bde4b-b762-428e-9afd-7c4a3e97881a,311.25,PayPal,2024-10-30 19:49:46
7665d113-f921-482b-9f30-d8190c25c430,640bad16-f046-4634-bf85-9e64e55b1757,326.95,Bank Transfer,2023-12-25 08:45:39
08082ef9-246e-451d-a872-d7f2e001ee96,7bd554a1-adfe-47be-9eae-ddc686bd998f,949.92,Credit Card,2024-10-16 04:58:56
962fdd49-5e4e-40b5-8870-5fb567d0aa43,8ed5f3e7-0d95-4341-80c5-e7c625e47de1,1786.59,PayPal,2024-10-05 02:25:20
7c6ef79a-0a93-41b5-af73-bd9b075f2379,7ad23809-c000-42bd-bede-43a578c4280e,3029.28,Credit Card,2024-02-02 22:21:05
052511fc-4bb9-468c-8f0a-948939438597,a3da34c4-2f6e-47c1-a03b-f47fae2d73a6,33.88,Credit Card,2024-09-27 01:31:13
802148ca-c092-4bf2-9c2c-a3242a6a1d1d,64475483-0aea-40f2-8a76-742e849bb8b0,146.7,Debit Card,2024-11-01 11:45:16
e2ca7649-75ae-43c4-89de-c0ac835a9349,7d4baa91-a37c-497a-bfbb-737d2aab1933,4716.2,Debit Card,2024-10-22 05:03:23
35cdebdb-0023-4e08-9228-08fe429cbc8f,2e60acfe-e7ce-4f06-beff-39c4a36dc752,394.83,Bank Transfer,2024-10-20 21:13:12
d9852532-541d-4a85-b962-6498a458cdef,7ba36d60-32c5-4fe7-8c72-ca7b88b2a69f,41.38,Debit Card,2024-10-12 02:44:07
3682931f-31bb-4f82-b3ab-0f216ff36cbe,8a60891a-3633-4002-a390-70c7b0bfe12e,1442.82,Debit Card,2024-09-01 10:37:14
c45fd9fd-26c5-4432-80d1-1eab4bb5ed3d,304d4045-34c0-48ae-8978-1d48410b7152,950.96,Credit Card,2024-10-29 12:23:42
dda1d6bd-a51e-40e5-823f-d69f4f902c31,be283ba7-8c35-4cb1-a7e0-c19c7aa97e6e,2137.52,Debit Card,2024-05-18 14:19:21
407db4e4-fe93-4502-bddf-39dda9ebd762,aaeba0e8-5038-45ac-b268-272a5ada4cba,2264.3999999999996,Credit Card,2024-07-09 07:39:37
e75ea045-558b-4731-8fae-0c1294b1c024,f571e7f1-9078-47fb-8c66-02b9c3dc838e,99.99,PayPal,2024-09-21 06:56:54
d6115d4c-340d-40f3-ab68-55f09f64f10b,aea6d953-b65b-49de-a164-05e4c55514da,1476.84,Bank Transfer,2024-11-05 03:20:48
2ccf1a13-d66a-4610-bc03-b93991562c0d,c1310c70-db34-45ba-a6d0-7911244558a4,1427.04,Bank Transfer,2024-10-22 20:02:21
338e3144-58d8-4328-825f-dc9a6b38290b,7e1a12db-4236-4549-aec0-114c0834a9b2,394.52,PayPal,2024-10-30 23:57:56
46193f87-477b-4eae-a4d5-e98c64646c7d,96c122e9-3ada-4d60-890b-a8d5f8e606f9,2249.68,PayPal,2024-02-20 20:44:43
399dda15-28af-4047-9541-9e26d38a6cfb,b749a28e-7bf5-458c-bddc-08f1acba125d,67.72,PayPal,2024-08-09 03:07:43
cfe100d3-c401-49ac-9b31-ac1154666d15,5c7faf58-b873-4923-a619-03a625065186,2759.88,PayPal,2024-10-31 08:32:19
db78528b-4cc1-4755-bd08-50f8475e5c10,c2a1521c-c334-4bbc-b146-e83fc44f947d,1035.3000000000002,PayPal,2024-10-26 09:09:23
8636b8db-77a6-4010-8b61-cabdb5a2980b,e60ea73c-7eec-41db-94c1-01b8c6462dea,37.6,PayPal,2024-10-14 04:13:16
f186c111-91ea-450b-bad9-77d58d1dc8e7,2dfd9337-e7a5-4288-a9e0-f0e1f7de6033,484.1,PayPal,2024-08-13 01:27:32
1cb010cd-6d63-4f1d-8193-27d38b2023ee,48480399-da1d-4c88-a366-551f20a95ec9,95.32,Credit Card,2024-10-17 08:16:45
922ff148-2a8b-40e8-bade-5ab9844ff492,52650791-35d4-4008-bb45-ebf66fb9c3d8,216.98,Credit Card,2024-05-29 23:45:59
cd21769c-4c2f-494e-8aae-b6a3e4f20f43,570400ba-0fe3-4b92-94a8-42a0ed93a4fa,365.96,Credit Card,2024-10-26 05:51:46
55714328-6b24-4139-be30-9f71ffbc0629,27b08f52-26cb-456f-a69f-4f34151e498f,699.6,PayPal,2024-05-27 07:09:59
d04ab50f-bb10-4aa8-8940-7ae0d268aaea,6d130ed2-667e-497b-8c51-9812a5555dbe,847.1,Debit Card,2024-10-11 21:12:18
c16e2993-1942-4380-a2cb-01b8ee629654,a129ff08-86bc-4cf7-a0e2-444c9df4cf96,649.02,Debit Card,2024-10-12 09:39:32
75be9d08-885f-4490-8af8-452829792123,ccb4837a-77a2-4f78-86f6-3370c65fe888,166.56,Bank Transfer,2024-10-27 02:33:55
20868abf-7b20-4703-9cbf-556302906b93,6e060583-4124-481f-b68a-f2a097fe7db7,2380.0,Bank Transfer,2024-09-14 08:44:24
29565990-8198-4006-8a44-dd228267a07e,d2452c8a-1e34-4640-b5a7-8a8717c449fc,324.76,Debit Card,2024-06-10 20:59:25
dd91da3f-ca7b-45de-a754-3a7be1945b4b,27aa3d37-5b6f-4b90-a8ca-cbf010745fcb,837.32,Debit Card,2024-10-27 21:41:25
df12dc8a-d46d-4782-8f2d-f1bfcca02103,b9f2824a-ec03-4d5c-afb2-a890f39a0ef1,87.96000000000001,PayPal,2024-10-25 02:48:50
62025e0d-7634-4d46-a25c-d81f2c51024e,a2b13239-f7fe-45ab-8ff1-63407db12759,704.34,Bank Transfer,2024-06-24 18:30:00
5c023d77-1692-47f0-8d1a-560e467e58e0,d57b6fa1-6ec8-4f0e-b6d0-9330d3737d0a,899.3399999999999,Credit Card,2024-04-10 02:57:08
d69237c2-6df2-4b61-92de-cc7b088a5d96,0498ffd5-4924-4761-8aee-ed7de21290c5,3383.3799999999997,Credit Card,2024-08-30 17:43:56
93f31a2d-37f5-4cc8-a483-a249a13d7c51,e6228cc2-6f41-4895-9bde-1792a1b5967d,1891.32,PayPal,2024-11-03 02:08:35
08580fd8-6396-4358-a4b1-9fec52097285,be915e3b-d6fe-451f-ae90-72f74f179b82,155.25,Credit Card,2024-09-25 15:49:47
43c7b5da-980c-4d1f-ac9b-1fafcadc2b46,9a87f4d4-a5da-476a-b9b8-bf00313e5279,941.28,Credit Card,2024-11-08 14:50:31
cbf3f48f-68a0-4dcc-91b7-802e82f59d62,f530d4c6-0e58-4a28-bcfe-ffe9b455429a,3283.2000000000003,Bank Transfer,2024-07-24 11:42:53
6f4bc31b-f1ee-4304-accd-a4ab2dbcc8d8,3f5b5432-f16e-4e65-9232-7dbd75f58f40,1774.6000000000001,Credit Card,2024-08-29 18:51:41
7df1af21-2c9d-4300-bb52-19d06500479a,5e1575bd-9b25-46d7-ac8b-21a961a2eeaf,976.48,PayPal,2024-07-22 20:10:12
4694c945-864c-416c-9131-2ffabf4ef377,b5dd7f2e-a5bf-4cab-92e4-ec21d71d95f4,1626.24,Credit Card,2024-09-16 10:40:18
1a33fb1d-fb3e-46cd-8719-bf4d59458389,99f2be5f-53b1-4e69-b5a9-d35574c836da,2679.84,PayPal,2024-07-17 02:28:24
1c101bcd-face-401b-a9f8-dfd79d505fb7,dcb49944-7c5b-43ad-a530-93d788c3a722,742.64,PayPal,2024-10-26 02:51:57
e293cf1e-433b-49b4-964e-52e655b9a2eb,2488c9bc-b0f5-4c3a-b124-294c94afdb36,2324.1,Credit Card,2024-10-23 12:35:42
6f148f69-e067-4c1e-94fe-4060ba2ab745,e5955ba2-e6b9-4ef1-8c32-3145c9ddcfe4,1078.1399999999999,Credit Card,2024-10-21 21:07:21
eab5e6ee-eeb1-4ef8-aa69-324d47340ef8,2457337c-4ea6-4c76-9612-61cede3a1dc0,3146.85,Credit Card,2024-10-08 10:55:23
bef2f721-0e2d-4320-b512-24c0c096aedb,0704c824-6e4e-4deb-a5d8-e6ed3147503a,1478.48,PayPal,2024-10-27 20:56:46
