id,user_id,product,quantity,total_amount,order_date,delivery_date
6fe33cf0-0d29-45a5-be10-ff8d50bfe101,f857c5f4-5095-490f-9863-70a9ddf52ae7,Khan-Moore,5,1210.8000000000002,2024-01-28 05:48:39,2024-05-15 17:11:58
9869215c-4008-490b-9153-073299da0136,a79ef312-9e96-4b7c-b880-8adb20bf985f,Farmer-Lowe,1,226.4,2024-07-14 11:30:26,2024-06-03 22:47:18
7ef89ba6-8076-40ac-9d49-8ef775bddb9d,32139f82-0136-4358-88ea-420eb629e609,"Dudley, Perkins and Taylor",3,839.4000000000001,2024-09-03 23:03:20,2024-10-10 07:15:28
5c9e7386-dbb5-4229-872c-23215586badd,043fcf21-1cb8-4428-baac-76d212497c66,"Sutton, Smith and Scott",1,2291.0,2024-09-16 21:15:11,2024-02-04 14:59:41
9ad586cb-21f1-4ee5-a1fc-b7259a97fe09,b6e9a64b-5cb6-476b-ab28-ea696e36bc28,Ward Group,1,799.44,2024-02-07 15:38:52,2023-12-22 10:38:57
c5c11eaa-e871-499d-9409-421340c0e829,9f615c3d-97dc-4771-a138-1adb0fac4b67,"Morgan, Baker and Melton",5,1751.47,2024-06-27 02:55:59,2023-12-15 11:58:42
92644294-ac07-4fe6-8d15-9d6e6003535d,615b2391-7edc-4d2e-88f9-a45483f57a9f,Page-Rios,1,3765.76,2024-03-09 23:15:03,2024-04-23 01:21:11
aaf7ac42-5fbf-45f5-b598-8e0f6e72f708,c10dd84b-e677-407e-8315-23435bcff885,"Brown, Church and Bowers",4,423.55,2024-07-01 19:23:28,2023-12-27 14:07:45
3e484936-72e9-4de5-a0a2-ef17aa7b75dc,d87bf2ab-dfb1-4173-a26b-6d0b47912198,Gonzalez-Kramer,5,2234.16,2024-04-25 05:06:50,2024-02-20 10:01:02
2940e18a-eb70-4c95-aa76-c42d1914c258,527a7f37-e5b6-4bc6-8159-e29b16334c3a,Rivera PLC,2,348.39,2024-05-12 10:20:56,2024-05-13 14:28:17
e408635a-c601-4684-8d8d-cbf551773049,ba8baf00-3359-4238-affc-4341e90d997b,Cardenas and Sons,5,88.44,2023-11-25 12:10:18,2024-08-20 15:40:06
1bec59f3-4dfb-4e22-84c1-e4f7f5402c78,4063de68-ee1a-4c6e-aaff-94769bb7df31,Martin-Foster,9,519.84,2024-08-26 01:36:08,2024-03-25 06:50:30
fba60cd4-92dc-490c-a7e6-5f8f109f4962,908c0343-64e9-496b-9f91-5458b29c1a71,Stevens-Hicks,6,241.32,2024-07-31 03:50:14,2024-03-17 02:16:45
647131fb-9d1e-42e6-926d-7d07fee5ae3e,bcfc99fb-82d3-4805-af59-70eebc1efbb3,Sanchez-Hanson,10,343.76,2024-02-27 19:27:27,2024-08-26 21:51:55
